No.,Date,Location,Winner,Score
1,"January 9, 1909","Ann Arbor, MI",Michigan State,24–16
2,"February 20, 1909","East Lansing, MI",Michigan State,45–23
3,"January 11, 1918","Ann Arbor, MI",Michigan,17–13
4,"March 2, 1918","East Lansing, MI",Michigan,31–25
5,"February 15, 1919","East Lansing, MI",Michigan,19–17
6,"February 28, 1919","Ann Arbor, MI",Michigan State,33–24
7,"January 30, 1920","Ann Arbor, MI",Michigan State,23–13
8,"February 28, 1920","East Lansing, MI",Michigan State,34–27
9,"February 5, 1921","Ann Arbor, MI",Michigan,37–24
10,"February 22, 1921","East Lansing, MI",Michigan,17–10
11,"January 6, 1922","Ann Arbor, MI",Michigan,27–26
12,"February 22, 1922","East Lansing, MI",Michigan,19–17
13,"January 3, 1923","Ann Arbor, MI",Michigan,33–11
14,"January 20, 1923","East Lansing, MI",Michigan,29–13
15,"January 11, 1924","Ann Arbor, MI",Michigan,23–19
16,"February 6, 1924","East Lansing, MI",Michigan,31–20
17,"December 13, 1924","Ann Arbor, MI",Michigan,26–10
18,"January 16, 1926","Ann Arbor, MI",Michigan,38–15
19,"December 11, 1926","Ann Arbor, MI",Michigan,34–13
20,"December 10, 1927","Ann Arbor, MI",Michigan,43–23
21,"December 7, 1928","Ann Arbor, MI",Michigan State,31–24
22,"February 15, 1930","East Lansing, MI",Michigan State,27–26
23,"December 13, 1930","Ann Arbor, MI",Michigan,32–22
24,"December 21, 1931","Ann Arbor, MI",Michigan,27–5
25,"February 13, 1932","East Lansing, MI",Michigan State,14–13
26,"December 10, 1932","Ann Arbor, MI",Michigan State,20–17
27,"February 11, 1933","East Lansing, MI",Michigan,28–16
28,"December 9, 1933","Ann Arbor, MI",Michigan State,26–25
29,"February 10, 1934","East Lansing, MI",Michigan State,33–26
30,"December 15, 1934","Ann Arbor, MI",Michigan,31–25
31,"February 9, 1935","East Lansing, MI",Michigan State,30–28
32,"December 14, 1935","Ann Arbor, MI",Michigan,35–24
33,"February 15, 1936","East Lansing, MI",Michigan,41–23
34,"December 12, 1936","Ann Arbor, MI",Michigan,34–21
35,"February 13, 1937","East Lansing, MI",Michigan,38–31
36,"December 11, 1937","Ann Arbor, MI",Michigan,43–40
37,"February 12, 1938","East Lansing, MI",Michigan State,41–35
38,"December 10, 1938","Ann Arbor, MI",Michigan,41–34
39,"February 11, 1939","East Lansing, MI",Michigan,30–25
40,"December 9, 1939","Ann Arbor, MI",Michigan,33–27
41,"January 20, 1940","East Lansing, MI",Michigan,32–27
42,"December 7, 1940","Ann Arbor, MI",Michigan,42–14
43,"February 12, 1941","East Lansing, MI",Michigan State,35–32
44,"December 13, 1941","Ann Arbor, MI",Michigan,37–20
45,"February 11, 1942","East Lansing, MI",Michigan State,57–34
46,"December 7, 1942","Ann Arbor, MI",Michigan,36–31
47,"January 4, 1943","East Lansing, MI",Michigan,29–26
48,"December 1, 1945","Ann Arbor, MI",Michigan,47–39
49,"January 7, 1946","East Lansing, MI",Michigan State,49–36
50,"December 7, 1946","Ann Arbor, MI",Michigan,51–29
51,"March 1, 1947","East Lansing, MI",Michigan,59–47
52,"December 18, 1947","East Lansing, MI",Michigan State,43–38
53,"March 6, 1948","Ann Arbor, MI",Michigan,69–28
54,"December 4, 1948","Ann Arbor, MI",Michigan,66–33
55,"January 31, 1949","East Lansing, MI",Michigan,49–38
56,"December 3, 1949","East Lansing, MI",Michigan,52–49
57,"February 20, 1950","Ann Arbor, MI",Michigan,70–53
58,"January 20, 1951","Ann Arbor, MI",Michigan State,49–36
59,"February 17, 1951","East Lansing, MI",Michigan State,43–32
60,"January 19, 1952","Ann Arbor, MI",Michigan,50–36
61,"March 1, 1952","East Lansing, MI",Michigan State,80–59
62,"January 17, 1953","Ann Arbor, MI",Michigan State,66–64
63,"March 7, 1953","East Lansing, MI",Michigan State,55–52
64,"January 16, 1954","Ann Arbor, MI",Michigan,64–62
65,"March 6, 1954","East Lansing, MI",Michigan State,76–61
66,"January 15, 1955","East Lansing, MI",Michigan State,84–82
67,"March 5, 1955","Ann Arbor, MI",Michigan State,83–68
68,"February 6, 1956","East Lansing, MI",Michigan State,86–76
69,"March 5, 1956","Ann Arbor, MI",Michigan State,76–75
70,"January 7, 1957","East Lansing, MI",Michigan,70–69
71,"March 4, 1957","Ann Arbor, MI",Michigan,81–72
72,"February 17, 1958","Ann Arbor, MI",Michigan State,79–69
73,"February 14, 1959","East Lansing, MI",Michigan State,103–91
74,"January 9, 1960","East Lansing, MI",Michigan State,89–58
